file,conf,method,vol_auc,slice_auc
BRATS_104.nii.gz,0.9946,ig,0.057687,0.971202
BRATS_104.nii.gz,0.9946,occlusion,0.050527,0.971920
BRATS_104.nii.gz,0.9946,tcav_edema,0.050504,0.971123
BRATS_104.nii.gz,0.9946,tcav_enhancing,0.041366,0.968051
BRATS_104.nii.gz,0.9946,tcav_non_enhancing,0.032064,0.966354
BRATS_104.nii.gz,0.9946,random,0.325014,0.974180
BRATS_107.nii.gz,0.9991,gradcam,0.990625,0.998972
BRATS_107.nii.gz,0.9991,ig,0.956483,0.998958
BRATS_107.nii.gz,0.9991,occlusion,0.970260,0.998706
BRATS_107.nii.gz,0.9991,tcav_edema,0.991432,0.999006
BRATS_107.nii.gz,0.9991,tcav_enhancing,0.990298,0.999003
BRATS_107.nii.gz,0.9991,tcav_non_enhancing,0.988093,0.998993
BRATS_107.nii.gz,0.9991,random,0.956253,0.998860
BRATS_112.nii.gz,0.9439,gradcam,0.949750,0.938329
BRATS_112.nii.gz,0.9439,ig,0.941203,0.944825
BRATS_112.nii.gz,0.9439,occlusion,0.887671,0.936531
BRATS_112.nii.gz,0.9439,tcav_edema,0.791371,0.942052
BRATS_112.nii.gz,0.9439,tcav_enhancing,0.964785,0.942863
BRATS_112.nii.gz,0.9439,tcav_non_enhancing,0.943042,0.945943
BRATS_112.nii.gz,0.9439,random,0.963017,0.945556
BRATS_115.nii.gz,0.9990,gradcam,0.957962,0.998717
BRATS_115.nii.gz,0.9990,ig,0.960169,0.998406
BRATS_115.nii.gz,0.9990,occlusion,0.952246,0.998690
BRATS_115.nii.gz,0.9990,tcav_edema,0.989728,0.998771
BRATS_115.nii.gz,0.9990,tcav_enhancing,0.986461,0.998748
BRATS_115.nii.gz,0.9990,tcav_non_enhancing,0.976849,0.998768
BRATS_115.nii.gz,0.9990,random,0.962853,0.998735
BRATS_117.nii.gz,0.9436,gradcam,0.910663,0.943884
BRATS_117.nii.gz,0.9436,ig,0.946181,0.940378
BRATS_117.nii.gz,0.9436,occlusion,0.887777,0.944838
BRATS_117.nii.gz,0.9436,tcav_edema,0.960864,0.947659
BRATS_117.nii.gz,0.9436,tcav_enhancing,0.952220,0.946210
BRATS_117.nii.gz,0.9436,tcav_non_enhancing,0.961209,0.947449
BRATS_117.nii.gz,0.9436,random,0.893006,0.944733
BRATS_118.nii.gz,0.6616,gradcam,0.021321,0.710215
BRATS_118.nii.gz,0.6616,ig,0.044702,0.692591
BRATS_118.nii.gz,0.6616,occlusion,0.024808,0.642465
BRATS_118.nii.gz,0.6616,tcav_edema,0.033273,0.695515
BRATS_118.nii.gz,0.6616,tcav_enhancing,0.032844,0.690516
BRATS_118.nii.gz,0.6616,tcav_non_enhancing,0.030764,0.695943
BRATS_118.nii.gz,0.6616,random,0.338596,0.689439
BRATS_124.nii.gz,0.7203,gradcam,0.573705,0.673340
BRATS_124.nii.gz,0.7203,ig,0.946316,0.732142
BRATS_124.nii.gz,0.7203,occlusion,0.741174,0.677072
BRATS_124.nii.gz,0.7203,tcav_edema,0.968115,0.739587
BRATS_124.nii.gz,0.7203,tcav_enhancing,0.972515,0.694937
BRATS_124.nii.gz,0.7203,tcav_non_enhancing,0.968551,0.705443
BRATS_124.nii.gz,0.7203,random,0.770291,0.719971
BRATS_126.nii.gz,0.9942,gradcam,0.932225,0.993417
BRATS_126.nii.gz,0.9942,ig,0.947246,0.993668
BRATS_126.nii.gz,0.9942,occlusion,0.958890,0.993001
BRATS_126.nii.gz,0.9942,tcav_edema,0.967732,0.993898
BRATS_126.nii.gz,0.9942,tcav_enhancing,0.978171,0.994017
BRATS_126.nii.gz,0.9942,tcav_non_enhancing,0.978029,0.994010
BRATS_126.nii.gz,0.9942,random,0.932398,0.994007
BRATS_143.nii.gz,0.9990,gradcam,0.967989,0.998729
BRATS_143.nii.gz,0.9990,ig,0.957290,0.998713
BRATS_143.nii.gz,0.9990,occlusion,0.958662,0.998747
BRATS_143.nii.gz,0.9990,tcav_edema,0.985170,0.998743
BRATS_143.nii.gz,0.9990,tcav_enhancing,0.982849,0.998780
BRATS_143.nii.gz,0.9990,tcav_non_enhancing,0.970277,0.998781
BRATS_143.nii.gz,0.9990,random,0.989813,0.998754
BRATS_158.nii.gz,0.9313,gradcam,0.596982,0.919811
BRATS_158.nii.gz,0.9313,ig,0.926407,0.930965
BRATS_158.nii.gz,0.9313,occlusion,0.463668,0.914996
BRATS_158.nii.gz,0.9313,tcav_edema,0.991878,0.934092
BRATS_158.nii.gz,0.9313,tcav_enhancing,0.977862,0.934963
BRATS_158.nii.gz,0.9313,tcav_non_enhancing,0.980456,0.934962
BRATS_158.nii.gz,0.9313,random,0.968172,0.930064
BRATS_171.nii.gz,0.9996,gradcam,0.957526,0.999417
BRATS_171.nii.gz,0.9996,ig,0.960776,0.999386
BRATS_171.nii.gz,0.9996,occlusion,0.983502,0.999392
BRATS_171.nii.gz,0.9996,tcav_edema,0.984759,0.999421
BRATS_171.nii.gz,0.9996,tcav_enhancing,0.983196,0.999423
BRATS_171.nii.gz,0.9996,tcav_non_enhancing,0.985352,0.999428
BRATS_171.nii.gz,0.9996,random,0.961045,0.999425
BRATS_178.nii.gz,0.9990,gradcam,0.924427,0.998724
BRATS_178.nii.gz,0.9990,ig,0.964532,0.998756
BRATS_178.nii.gz,0.9990,occlusion,0.972160,0.998722
BRATS_178.nii.gz,0.9990,tcav_edema,0.968368,0.998733
