dataset,arch,operator,file,conf,method,vol_auc,slice_auc
brats,reference,context-nn,vol0029,0.8716,gradcam,0.033297,0.827999
brats,reference,context-nn,vol0029,0.8716,ig,0.112789,0.807114
brats,reference,context-nn,vol0029,0.8716,occlusion,0.082887,0.815196
brats,reference,context-nn,vol0029,0.8716,random,0.191125,0.827238
brats,reference,context-nn,vol0030,0.6716,gradcam,0.201702,0.650650
brats,reference,context-nn,vol0030,0.6716,ig,0.202275,0.591078
brats,reference,context-nn,vol0030,0.6716,occlusion,0.036626,0.581581
brats,reference,context-nn,vol0030,0.6716,random,0.105092,0.600645
brats,reference,context-nn,vol0031,0.5755,gradcam,0.035822,0.527933
brats,reference,context-nn,vol0031,0.5755,ig,0.115223,0.494122
brats,reference,context-nn,vol0031,0.5755,occlusion,0.052316,0.492026
brats,reference,context-nn,vol0031,0.5755,random,0.319333,0.516130
brats,reference,context-nn,vol0032,0.6031,gradcam,0.023978,0.616106
brats,reference,context-nn,vol0032,0.6031,ig,0.084139,0.580150
brats,reference,context-nn,vol0032,0.6031,occlusion,0.062033,0.533561
brats,reference,context-nn,vol0032,0.6031,random,0.136249,0.545902
brats,reference,context-nn,vol0033,0.5608,gradcam,0.039953,0.515339
brats,reference,context-nn,vol0033,0.5608,ig,0.162283,0.504343
brats,reference,context-nn,vol0033,0.5608,occlusion,0.026285,0.465330
brats,reference,context-nn,vol0033,0.5608,random,0.074674,0.476369
brats,reference,context-nn,vol0034,0.9888,gradcam,0.793156,0.920081
brats,reference,context-nn,vol0034,0.9888,ig,0.819887,0.922194
brats,reference,context-nn,vol0034,0.9888,occlusion,0.987411,0.952317
brats,reference,context-nn,vol0034,0.9888,random,0.871994,0.988717
brats,reference,context-nn,vol0035,0.8318,gradcam,0.043515,0.776142
brats,reference,context-nn,vol0035,0.8318,ig,0.164395,0.775059
brats,reference,context-nn,vol0035,0.8318,occlusion,0.193262,0.764971
brats,reference,context-nn,vol0035,0.8318,random,0.090804,0.777560
brats,reference,context-nn,vol0036,0.9480,gradcam,0.111278,0.929946
brats,reference,context-nn,vol0036,0.9480,ig,0.233391,0.918662
brats,reference,context-nn,vol0036,0.9480,occlusion,0.070173,0.911337
brats,reference,context-nn,vol0036,0.9480,random,0.337660,0.928114
brats,reference,context-nn,vol0037,0.9851,gradcam,0.074677,0.973891
brats,reference,context-nn,vol0037,0.9851,ig,0.117569,0.973051
brats,reference,context-nn,vol0037,0.9851,occlusion,0.081104,0.973411
brats,reference,context-nn,vol0037,0.9851,random,0.341838,0.975428
brats,reference,context-nn,vol0038,0.9995,gradcam,0.920829,0.999430
brats,reference,context-nn,vol0038,0.9995,ig,0.958563,0.998806
brats,reference,context-nn,vol0038,0.9995,occlusion,0.925863,0.999330
brats,reference,context-nn,vol0038,0.9995,random,0.923986,0.999465
brats,reference,context-nn,vol0039,0.9644,gradcam,0.963096,0.966622
brats,reference,context-nn,vol0039,0.9644,ig,0.789582,0.959206
brats,reference,context-nn,vol0039,0.9644,occlusion,0.992153,0.958493
brats,reference,context-nn,vol0039,0.9644,random,0.886583,0.967036
brats,reference,context-nn,vol0040,0.6710,gradcam,0.986000,0.718415
brats,reference,context-nn,vol0040,0.6710,ig,0.899750,0.734155
brats,reference,context-nn,vol0040,0.6710,occlusion,0.896127,0.677346
brats,reference,context-nn,vol0040,0.6710,random,0.925591,0.698947
brats,reference,context-nn,vol0041,0.9796,gradcam,0.058806,0.967738
brats,reference,context-nn,vol0041,0.9796,ig,0.095123,0.964960
brats,reference,context-nn,vol0041,0.9796,occlusion,0.094660,0.960895
brats,reference,context-nn,vol0041,0.9796,random,0.333483,0.967311
brats,reference,context-nn,vol0042,0.9796,gradcam,0.770798,0.979009
brats,reference,context-nn,vol0042,0.9796,ig,0.883323,0.974377
brats,reference,context-nn,vol0042,0.9796,occlusion,0.788760,0.980704
brats,reference,context-nn,vol0042,0.9796,random,0.982856,0.980903
brats,reference,context-nn,vol0043,0.9235,gradcam,0.036432,0.889626
brats,reference,context-nn,vol0043,0.9235,ig,0.071006,0.890952
brats,reference,context-nn,vol0043,0.9235,occlusion,0.045227,0.884103
brats,reference,context-nn,vol0043,0.9235,random,0.194175,0.889692
brats,reference,context-nn,vol0044,0.9105,gradcam,0.035889,0.872056
brats,reference,context-nn,vol0044,0.9105,ig,0.189958,0.865502
brats,reference,context-nn,vol0044,0.9105,occlusion,0.057562,0.867024
brats,reference,context-nn,vol0044,0.9105,random,0.216223,0.869771
brats,reference,context-nn,vol0045,0.5116,gradcam,0.681999,0.550215
brats,reference,context-nn,vol0045,0.5116,ig,0.683691,0.537017
brats,reference,context-nn,vol0045,0.5116,occlusion,0.558000,0.531570
brats,reference,context-nn,vol0045,0.5116,random,0.950083,0.581034
brats,reference,context-nn,vol0046,0.9788,gradcam,0.254151,0.962113
brats,reference,context-nn,vol0046,0.9788,ig,0.156860,0.958375
brats,reference,context-nn,vol0046,0.9788,occlusion,0.026812,0.958255
